# output from https://query.wikidata.org/#SELECT%20%3Fhuman%20%3FhumanLabel%0AWHERE%0A%7B%0A%20%20%3Fhuman%20wdt%3AP21%20wd%3AQ6581097%20.%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20%7D%0A%7D%20LIMIT%202500%0A
human	humanLabel
http://www.wikidata.org/entity/Q926	Roald Amundsen
http://www.wikidata.org/entity/Q927	Harry Mulisch
http://www.wikidata.org/entity/Q930	Konstantin Melnikov
http://www.wikidata.org/entity/Q931	Naruto Uzumaki
http://www.wikidata.org/entity/Q935	Isaac Newton
http://www.wikidata.org/entity/Q937	Albert Einstein
http://www.wikidata.org/entity/Q939	Pedro I
http://www.wikidata.org/entity/Q946	Donald Tusk
http://www.wikidata.org/entity/Q949	John Bardeen
http://www.wikidata.org/entity/Q966	Hermann Brunner
http://www.wikidata.org/entity/Q989	John Paul II
http://www.wikidata.org/entity/Q991	Fyodor Dostoyevsky
http://www.wikidata.org/entity/Q997	Andrei Sakharov
http://www.wikidata.org/entity/Q1001	Mohandas Karamchand Gandhi
http://www.wikidata.org/entity/Q1023	Roman Camenzind
http://www.wikidata.org/entity/Q1031	France Prešeren
http://www.wikidata.org/entity/Q1035	Charles Darwin
http://www.wikidata.org/entity/Q1043	Carl Linnaeus
http://www.wikidata.org/entity/Q1047	Jawaharlal Nehru
http://www.wikidata.org/entity/Q1048	Julius Caesar
http://www.wikidata.org/entity/Q1051	Ivan Regen
http://www.wikidata.org/entity/Q1056	Italo Balbo
http://www.wikidata.org/entity/Q1058	Narendra Modi
http://www.wikidata.org/entity/Q1064	Alessandro Manzoni
http://www.wikidata.org/entity/Q1067	Dante Alighieri
http://www.wikidata.org/entity/Q1081	Julio Bashmore
http://www.wikidata.org/entity/Q1124	Bill Clinton
http://www.wikidata.org/entity/Q1145	Jean-Philippe Rameau
http://www.wikidata.org/entity/Q1150	Mercury
http://www.wikidata.org/entity/Q1151	Hector Berlioz
http://www.wikidata.org/entity/Q1178	Maurice Ravel
http://www.wikidata.org/entity/Q1189	Usain Bolt
http://www.wikidata.org/entity/Q1192	Jean-Baptiste Lully
http://www.wikidata.org/entity/Q1203	John Lennon
http://www.wikidata.org/entity/Q1217	Hubert Salentin
http://www.wikidata.org/entity/Q1220	Giorgio Napolitano
http://www.wikidata.org/entity/Q1224	Carlo Azeglio Ciampi
http://www.wikidata.org/entity/Q1225	Bruce Springsteen
http://www.wikidata.org/entity/Q1228	Oscar Luigi Scalfaro
http://www.wikidata.org/entity/Q1230	Francesco Cossiga
http://www.wikidata.org/entity/Q1233	Sandro Pertini
http://www.wikidata.org/entity/Q1235	Giovanni Leone
http://www.wikidata.org/entity/Q1238	Giuseppe Saragat
http://www.wikidata.org/entity/Q1240	Antonio Segni
http://www.wikidata.org/entity/Q1241	Giovanni Gronchi
http://www.wikidata.org/entity/Q1242	Luigi Einaudi
http://www.wikidata.org/entity/Q1245	Enrico de Nicola
http://www.wikidata.org/entity/Q1253	Ban Ki-moon
http://www.wikidata.org/entity/Q1254	Kofi Annan
