# output of https://query.wikidata.org/#SELECT%20%3Fhuman%20%3FhumanLabel%20%0AWHERE%0A%7B%0A%20%20%3Fhuman%20wdt%3AP31%20wd%3AQ5%20.%0A%20%20%3Fhuman%20wdt%3AP21%20wd%3AQ6581097%20.%20%23%20men%3A%20Q6581097%20%23%20women%3A%20Q6581072%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20%7D%0A%7D%20LIMIT%202500
human	humanLabel
http://www.wikidata.org/entity/Q7440	Ruth R. Benerito
http://www.wikidata.org/entity/Q7441	Helen M. Berman
http://www.wikidata.org/entity/Q7442	Carolyn Bertozzi
http://www.wikidata.org/entity/Q7444	Hazel Bishop
http://www.wikidata.org/entity/Q7445	Lucy Everest Boole
http://www.wikidata.org/entity/Q7446	Rachel Fuller Brown
http://www.wikidata.org/entity/Q7447	Emma P. Carr
http://www.wikidata.org/entity/Q7450	Asima Chatterjee
http://www.wikidata.org/entity/Q7452	Chen Yu-chie
http://www.wikidata.org/entity/Q7460	Cleopatra the Alchemist
http://www.wikidata.org/entity/Q7463	Anat Cohen-Dayag
http://www.wikidata.org/entity/Q7465	Mildred Cohn
http://www.wikidata.org/entity/Q7468	Catherine Coleman
http://www.wikidata.org/entity/Q7470	Mary Peters Fieser
http://www.wikidata.org/entity/Q7472	Joanna S. Fowler
http://www.wikidata.org/entity/Q7474	Rosalind Franklin
http://www.wikidata.org/entity/Q7476	Helen Murray Free
http://www.wikidata.org/entity/Q7478	Elizabeth Fulhame
http://www.wikidata.org/entity/Q7480	Louise Giblin
http://www.wikidata.org/entity/Q7481	Mary L. Good
http://www.wikidata.org/entity/Q7482	Louise Hammarström
http://www.wikidata.org/entity/Q7485	Anna J. Harrison
http://www.wikidata.org/entity/Q7487	Dorothy Hodgkin
http://www.wikidata.org/entity/Q7490	Clara Immerwahr
http://www.wikidata.org/entity/Q7491	Jane Stafford
http://www.wikidata.org/entity/Q7493	Allene Jeanes
http://www.wikidata.org/entity/Q7499	Mary the Jewess
http://www.wikidata.org/entity/Q7504	Irène Joliot-Curie
http://www.wikidata.org/entity/Q7506	Joyce Jacobson Kaufman
http://www.wikidata.org/entity/Q7508	Ann A. Kiessling
http://www.wikidata.org/entity/Q7509	Stephanie L. Kwolek
http://www.wikidata.org/entity/Q7510	Jeehiun Lee
http://www.wikidata.org/entity/Q7511	Jing Li
http://www.wikidata.org/entity/Q7513	Kathleen Lonsdale
http://www.wikidata.org/entity/Q7514	Olivia Lum
http://www.wikidata.org/entity/Q7515	Maud Menten
http://www.wikidata.org/entity/Q7518	Christina Cruickshank Miller
http://www.wikidata.org/entity/Q7522	Carmen Hermosillo
http://www.wikidata.org/entity/Q7524	Sue Gardner
http://www.wikidata.org/entity/Q7526	Deborah Estrin
http://www.wikidata.org/entity/Q7531	Louise Nevelson
http://www.wikidata.org/entity/Q7532	Judith Estrin
http://www.wikidata.org/entity/Q7534	Elizabeth J. Feinler
http://www.wikidata.org/entity/Q7536	Valerie Aurora
http://www.wikidata.org/entity/Q7538	Mary Gardiner
http://www.wikidata.org/entity/Q7541	Sally Floyd
http://www.wikidata.org/entity/Q7543	Stacy Horn
http://www.wikidata.org/entity/Q7545	Kat Walsh
http://www.wikidata.org/entity/Q7549	Sandra Lerner
http://www.wikidata.org/entity/Q7552	Pattie Maes
http://www.wikidata.org/entity/Q7555	Jude Milhon
http://www.wikidata.org/entity/Q7557	Nicola Pellow
http://www.wikidata.org/entity/Q7558	Radia Perlman
http://www.wikidata.org/entity/Q7562	Ping Fu
http://www.wikidata.org/entity/Q7563	Joyce K. Reynolds
http://www.wikidata.org/entity/Q7567	Jaime Levy Russell
http://www.wikidata.org/entity/Q7658	Heidi Weng
http://www.wikidata.org/entity/Q7728	Grazia Deledda
http://www.wikidata.org/entity/Q8160	Carly Rose Sonenclar
http://www.wikidata.org/entity/Q8219	Uta Frith
http://www.wikidata.org/entity/Q8796	Sandra Lombardi
http://www.wikidata.org/entity/Q8867	Gae Aulenti
http://www.wikidata.org/entity/Q8902	Cristina Marcano
http://www.wikidata.org/entity/Q8927	Marion Cotillard
http://www.wikidata.org/entity/Q9439	Queen Victoria
http://www.wikidata.org/entity/Q9537	Glenda Schroeder
http://www.wikidata.org/entity/Q9550	Katrina Kaif
http://www.wikidata.org/entity/Q9577	Katja Seizinger
http://www.wikidata.org/entity/Q9586	Annemarie Moser-Pröll
http://www.wikidata.org/entity/Q9594	Dorit Aharonov
http://www.wikidata.org/entity/Q9599	Susanne Albers
http://www.wikidata.org/entity/Q9602	Frances E. Allen
http://www.wikidata.org/entity/Q9605	Sarah Allen
http://www.wikidata.org/entity/Q9670	Caroline Lucas
http://www.wikidata.org/entity/Q9675	Kelly Smith
http://www.wikidata.org/entity/Q9682	Elizabeth II
http://www.wikidata.org/entity/Q9685	Diana, Princess of Wales
http://www.wikidata.org/entity/Q9738	Wu Zetian
http://www.wikidata.org/entity/Q9895	Anita K. Jones
http://www.wikidata.org/entity/Q9912	Annie Antón
http://www.wikidata.org/entity/Q9931	Cecilia R. Aragon
http://www.wikidata.org/entity/Q9958	Winifred Asprey
http://www.wikidata.org/entity/Q10058	Justine Smethurst
http://www.wikidata.org/entity/Q10062	Laura Berg
http://www.wikidata.org/entity/Q10068	Lindsey Vonn
http://www.wikidata.org/entity/Q10085	Tina Maze
http://www.wikidata.org/entity/Q10089	Julia Mancuso
http://www.wikidata.org/entity/Q10091	Janica Kostelić
http://www.wikidata.org/entity/Q10092	Maria Höfl-Riesch
http://www.wikidata.org/entity/Q10093	Viktoria Rebensburg
http://www.wikidata.org/entity/Q10095	Annelise Coberger
http://www.wikidata.org/entity/Q10101	Picabo Street
http://www.wikidata.org/entity/Q10105	Amy Williams
http://www.wikidata.org/entity/Q10106	Kerstin Szymkowiak
http://www.wikidata.org/entity/Q10108	Anja Huber
http://www.wikidata.org/entity/Q320	Michelle Bachelet
http://www.wikidata.org/entity/Q353	Blanche of Castile
http://www.wikidata.org/entity/Q400	Jenna Jameson
http://www.wikidata.org/entity/Q407	Linda Lovelace
http://www.wikidata.org/entity/Q555	Rachel Maddow
http://www.wikidata.org/entity/Q557	Patti Smith
http://www.wikidata.org/entity/Q563	Brigitte Fontaine
http://www.wikidata.org/entity/Q567	Angela Merkel
http://www.wikidata.org/entity/Q609	Kateri Tekakwitha
http://www.wikidata.org/entity/Q635	Cleopatra
http://www.wikidata.org/entity/Q636	Kate Bush
http://www.wikidata.org/entity/Q814	Coco Austin
http://www.wikidata.org/entity/Q839	Georgina Cassar
http://www.wikidata.org/entity/Q873	Meryl Streep
http://www.wikidata.org/entity/Q984	Miles Franklin
http://www.wikidata.org/entity/Q1149	Indira Gandhi
http://www.wikidata.org/entity/Q1453	Alexandra Stan
http://www.wikidata.org/entity/Q1480	Corazon Aquino
http://www.wikidata.org/entity/Q1514	Janis Joplin
http://www.wikidata.org/entity/Q1545	Cyndi Lauper
http://www.wikidata.org/entity/Q1631	Édith Piaf
http://www.wikidata.org/entity/Q1646	Françoise Sagan
http://www.wikidata.org/entity/Q1744	Madonna
http://www.wikidata.org/entity/Q1768	Ella Fitzgerald
http://www.wikidata.org/entity/Q1775	Brownie Mary
http://www.wikidata.org/entity/Q1790	Kim Wilde
http://www.wikidata.org/entity/Q1804	Barbara
http://www.wikidata.org/entity/Q1933	Anja Pärson
http://www.wikidata.org/entity/Q1958	Vreni Schneider
http://www.wikidata.org/entity/Q1962	Erika Hess
http://www.wikidata.org/entity/Q1984	Maria Walliser
http://www.wikidata.org/entity/Q1991	Michela Figini
http://www.wikidata.org/entity/Q2006	Deborah Compagnoni
http://www.wikidata.org/entity/Q2259	Julia the Elder
http://www.wikidata.org/entity/Q2597	Johanna Braddy
http://www.wikidata.org/entity/Q2709	Sasha Grey
http://www.wikidata.org/entity/Q2732	Norma Stitz
http://www.wikidata.org/entity/Q2998	Amy Johnson
http://www.wikidata.org/entity/Q3095	Livia Ana Tătaru
http://www.wikidata.org/entity/Q3281	Marit Paulsen
http://www.wikidata.org/entity/Q3319	Yukiko Kobayashi
http://www.wikidata.org/entity/Q3355	Amelia Earhart
http://www.wikidata.org/entity/Q3374	Anne-Sophie Mutter
http://www.wikidata.org/entity/Q3773	Galina Zybina
http://www.wikidata.org/entity/Q3816	George Sand
http://www.wikidata.org/entity/Q3925	Grace Kelly
http://www.wikidata.org/entity/Q3993	Jacqueline Cochran
http://www.wikidata.org/entity/Q4029	Tara Strong
http://www.wikidata.org/entity/Q4058	Kayla Ewell
http://www.wikidata.org/entity/Q4070	Kim Carnes
http://www.wikidata.org/entity/Q4137	Elsa Triolet
http://www.wikidata.org/entity/Q4189	Claire Holt
http://www.wikidata.org/entity/Q4281	Anne Moreau-Vagnon
http://www.wikidata.org/entity/Q4330	Marina Fernandez
http://www.wikidata.org/entity/Q4350	Melissa Fahn
http://www.wikidata.org/entity/Q4395	Florencia de Saracho
http://www.wikidata.org/entity/Q4441	Emily Dickinson
http://www.wikidata.org/entity/Q4461	Troian Bellisario
http://www.wikidata.org/entity/Q4473	Jennette McCurdy
http://www.wikidata.org/entity/Q4489	Stefanie Heinzmann
http://www.wikidata.org/entity/Q4491	Anna Faris
http://www.wikidata.org/entity/Q4498	Beatritz de Dia
http://www.wikidata.org/entity/Q4509	Chloë Grace Moretz
http://www.wikidata.org/entity/Q4518	Alison Lohman
http://www.wikidata.org/entity/Q4578	Laura Ludwig
http://www.wikidata.org/entity/Q4581	Sara Goller
http://www.wikidata.org/entity/Q4583	Anne Frank
http://www.wikidata.org/entity/Q4605	Sarah Bernhardt
http://www.wikidata.org/entity/Q4612	Marlene Dietrich
http://www.wikidata.org/entity/Q4616	Marilyn Monroe
http://www.wikidata.org/entity/Q4636	Barbra Streisand
http://www.wikidata.org/entity/Q4652	Mary Stewart
http://www.wikidata.org/entity/Q4689	Joan Lorring
http://www.wikidata.org/entity/Q4690	Margaret Wycherly
http://www.wikidata.org/entity/Q4725	Elizabeth Smith-Stanley, Countess of Derby
http://www.wikidata.org/entity/Q4731	M. J. Hyland
http://www.wikidata.org/entity/Q4783	Ella Gjømle
http://www.wikidata.org/entity/Q4813	Lady Ann Cunningham
http://www.wikidata.org/entity/Q4826	Rosa Valetti
http://www.wikidata.org/entity/Q4832	Jana Šenková
http://www.wikidata.org/entity/Q4881	Anne Hamilton
http://www.wikidata.org/entity/Q4924	Isabella I, Queen of Armenia
http://www.wikidata.org/entity/Q5015	Mette Frederiksen
http://www.wikidata.org/entity/Q5028	Britta Thomsen
http://www.wikidata.org/entity/Q5104	Miranda Cosgrove
http://www.wikidata.org/entity/Q5105	Céline Dion
http://www.wikidata.org/entity/Q5220	Tibors de Sarenom
http://www.wikidata.org/entity/Q5363	Maria de Ventadorn
http://www.wikidata.org/entity/Q5442	Sara Simeoni
http://www.wikidata.org/entity/Q5443	Greta Garbo
http://www.wikidata.org/entity/Q5450	Antonietta Di Martino
http://www.wikidata.org/entity/Q5454	Isabella Teotochi Albrizzi
http://www.wikidata.org/entity/Q5587	Marloes Horst
http://www.wikidata.org/entity/Q5588	Frida Kahlo
http://www.wikidata.org/entity/Q5617	Marie de France
http://www.wikidata.org/entity/Q5656	Héloïse d’Argenteuil
http://www.wikidata.org/entity/Q10110	Shelley Rudman
http://www.wikidata.org/entity/Q10112	Edith Hannam
http://www.wikidata.org/entity/Q10115	Helen Aitchison
http://www.wikidata.org/entity/Q10117	Alice Greene
http://www.wikidata.org/entity/Q10118	Victoria Azarenka
http://www.wikidata.org/entity/Q10120	Laura Robson
http://www.wikidata.org/entity/Q10129	Lisa Raymond
http://www.wikidata.org/entity/Q10479	Catherine, Duchess of Cambridge
http://www.wikidata.org/entity/Q10633	Queen Elizabeth The Queen Mother
http://www.wikidata.org/entity/Q10685	Louise Ebrel
http://www.wikidata.org/entity/Q10694	Leanne Wood
http://www.wikidata.org/entity/Q10837	Gabby Logan
http://www.wikidata.org/entity/Q10845	Kelly Cates
http://www.wikidata.org/entity/Q10857	Rachel Brown
http://www.wikidata.org/entity/Q10860	Siobhan Chamberlain
http://www.wikidata.org/entity/Q10861	Hope Powell
http://www.wikidata.org/entity/Q10864	Karen Bardsley
http://www.wikidata.org/entity/Q10865	Assunta Legnante
http://www.wikidata.org/entity/Q10868	Casey Stoney
http://www.wikidata.org/entity/Q10869	Rachel Unitt
http://www.wikidata.org/entity/Q10871	Steph Houghton
http://www.wikidata.org/entity/Q10875	Laura Bassett
http://www.wikidata.org/entity/Q10878	Dunia Susi
http://www.wikidata.org/entity/Q10879	Sophie Bradley-Auckland
http://www.wikidata.org/entity/Q10881	Claire Rafferty
http://www.wikidata.org/entity/Q10883	Rachel Yankey
http://www.wikidata.org/entity/Q10885	Fara Williams
http://www.wikidata.org/entity/Q10889	Karen Carney
http://www.wikidata.org/entity/Q10896	Jill Scott
http://www.wikidata.org/entity/Q10902	Anita Asante
http://www.wikidata.org/entity/Q10905	Eniola Aluko
http://www.wikidata.org/entity/Q10911	Ellen White
http://www.wikidata.org/entity/Q10914	Rachel Williams
http://www.wikidata.org/entity/Q10916	Toni Duggan
http://www.wikidata.org/entity/Q10917	Faye White
http://www.wikidata.org/entity/Q10918	Katie Chapman
http://www.wikidata.org/entity/Q10937	Terri Attwood
http://www.wikidata.org/entity/Q10942	Donna Auguste
http://www.wikidata.org/entity/Q10947	Chrisanthi Avgerou
http://www.wikidata.org/entity/Q10953	Henriette Avram
http://www.wikidata.org/entity/Q10959	Ruzena Bajcsy
http://www.wikidata.org/entity/Q11093	Valerie Solanas
http://www.wikidata.org/entity/Q11105	Elena Kagan
http://www.wikidata.org/entity/Q11107	Sonia Sotomayor
http://www.wikidata.org/entity/Q11116	Ruth Bader Ginsburg
http://www.wikidata.org/entity/Q11132	Sandra Day O'Connor
http://www.wikidata.org/entity/Q11172	Addys Mercedes
http://www.wikidata.org/entity/Q11428	Jean Bartik
http://www.wikidata.org/entity/Q11431	Evelyn Berezin
http://www.wikidata.org/entity/Q11433	Francine Berman
http://www.wikidata.org/entity/Q11458	Orna Berry
http://www.wikidata.org/entity/Q11459	Serena Williams
http://www.wikidata.org/entity/Q11470	Sue Black
http://www.wikidata.org/entity/Q11481	Kathleen Booth
http://www.wikidata.org/entity/Q11483	Anita Borg
http://www.wikidata.org/entity/Q11484	Maxine D. Brown
http://www.wikidata.org/entity/Q11486	Suw Charman-Anderson
http://www.wikidata.org/entity/Q11487	Jennifer Tour Chayes
http://www.wikidata.org/entity/Q11488	Amanda Chessell
http://www.wikidata.org/entity/Q11489	Anne Condon
http://www.wikidata.org/entity/Q11493	Danese Cooper
http://www.wikidata.org/entity/Q11497	Suzy Covey
http://www.wikidata.org/entity/Q11522	Pamela Kyle Crossley
http://www.wikidata.org/entity/Q11529	Leah Culver
http://www.wikidata.org/entity/Q11542	Dorothy E. Denning
http://www.wikidata.org/entity/Q11569	Susan T. Dumais
http://www.wikidata.org/entity/Q11578	Venus Williams
http://www.wikidata.org/entity/Q11580	Cynthia Dwork
http://www.wikidata.org/entity/Q11581	Andrea Sestini Hlaváčková
http://www.wikidata.org/entity/Q11583	Lucie Hradecká
http://www.wikidata.org/entity/Q11586	Annie Easley
http://www.wikidata.org/entity/Q11588	Thelma Estrin
http://www.wikidata.org/entity/Q11589	Jeanne Ferrante
http://www.wikidata.org/entity/Q11590	Phyllis Fox
http://www.wikidata.org/entity/Q11594	Frances A. Rosamond
http://www.wikidata.org/entity/Q11596	Charlotte Froese Fischer
http://www.wikidata.org/entity/Q11600	Susan Gerhart
http://www.wikidata.org/entity/Q11604	Carole Goble
http://www.wikidata.org/entity/Q11605	Adele Goldberg
http://www.wikidata.org/entity/Q11608	Anne Hutchinson
http://www.wikidata.org/entity/Q11609	Shafrira Goldwasser
http://www.wikidata.org/entity/Q11612	Susan L. Graham
http://www.wikidata.org/entity/Q11614	Diane Greene
http://www.wikidata.org/entity/Q11615	Sheila Greibach
http://www.wikidata.org/entity/Q11617	Aaliyah
http://www.wikidata.org/entity/Q11619	Nancy Davis Griffeth
http://www.wikidata.org/entity/Q11620	Rebecca Grinter
http://www.wikidata.org/entity/Q11623	Nancy Hafkin
http://www.wikidata.org/entity/Q11624	Lois Haibt
http://www.wikidata.org/entity/Q11626	Wendy Hall
http://www.wikidata.org/entity/Q11628	Margaret Hamilton
http://www.wikidata.org/entity/Q11630	Jane Hillston
http://www.wikidata.org/entity/Q11636	Betty Holberton
http://www.wikidata.org/entity/Q11637	Judy Garland
http://www.wikidata.org/entity/Q11638	Molly Holzschlag
http://www.wikidata.org/entity/Q11641	Grace Hopper
http://www.wikidata.org/entity/Q11644	Ayanna Howard
http://www.wikidata.org/entity/Q11645	Cathy Hudgins
http://www.wikidata.org/entity/Q11648	Mary Jane Irwin
http://www.wikidata.org/entity/Q11657	Maria Kirilenko
http://www.wikidata.org/entity/Q11659	Nadia Petrova
http://www.wikidata.org/entity/Q11662	Steffi Graf
http://www.wikidata.org/entity/Q11666	Maria Sharapova
http://www.wikidata.org/entity/Q11667	Elena Dementieva
http://www.wikidata.org/entity/Q11668	Nikki Haley
http://www.wikidata.org/entity/Q11677	Lindsay Davenport
http://www.wikidata.org/entity/Q11680	Jennifer Capriati
http://www.wikidata.org/entity/Q11682	Justine Henin
http://www.wikidata.org/entity/Q11685	Kim Clijsters
http://www.wikidata.org/entity/Q11688	Leah Jamieson
http://www.wikidata.org/entity/Q11689	Sabina Jeschke
http://www.wikidata.org/entity/Q11740	Katherine Johnson
http://www.wikidata.org/entity/Q11742	Lynne Jolitz
http://www.wikidata.org/entity/Q11743	Lila Kari
http://www.wikidata.org/entity/Q11745	Arfa Karim
http://www.wikidata.org/entity/Q11748	Anna Karlin
http://www.wikidata.org/entity/Q11749	Lydia Kavraki
http://www.wikidata.org/entity/Q11752	Mary Kenneth Keller
http://www.wikidata.org/entity/Q11754	Maria Klawe
http://www.wikidata.org/entity/Q11755	Daphne Koller
http://www.wikidata.org/entity/Q11757	Janet Kolodner
http://www.wikidata.org/entity/Q11760	Marta Kwiatkowska
http://www.wikidata.org/entity/Q11763	Monica S. Lam
http://www.wikidata.org/entity/Q11766	Susan Landau
http://www.wikidata.org/entity/Q11770	Amy L. Lansky
http://www.wikidata.org/entity/Q11771	Corinna E. Lathan
http://www.wikidata.org/entity/Q11773	Nancy Leveson
http://www.wikidata.org/entity/Q11775	Ming C. Lin
http://www.wikidata.org/entity/Q11777	Joyce Currie Little
http://www.wikidata.org/entity/Q11778	Liuba Shrira
http://www.wikidata.org/entity/Q11779	Nancy Lynch
http://www.wikidata.org/entity/Q11903	Hypatia
http://www.wikidata.org/entity/Q11964	Sylvia de Arruda Botelho Bittencourt
http://www.wikidata.org/entity/Q11975	Britney Spears
http://www.wikidata.org/entity/Q11998	Kylie Minogue
http://www.wikidata.org/entity/Q12003	Cher
http://www.wikidata.org/entity/Q12012	Nigar Jamal
http://www.wikidata.org/entity/Q12349	Inna
http://www.wikidata.org/entity/Q12492	Eugenia Maniokova
http://www.wikidata.org/entity/Q12509	Svetlana Parkhomenko
http://www.wikidata.org/entity/Q12744	Nina Teplyakova
http://www.wikidata.org/entity/Q12819	Małgorzata Handzlik
http://www.wikidata.org/entity/Q12823	Susan Polgar
http://www.wikidata.org/entity/Q12827	Beth Ditto
http://www.wikidata.org/entity/Q12854	Sonja Lang
http://www.wikidata.org/entity/Q12924	Dominique Nachury
http://www.wikidata.org/entity/Q12926	Pascale Crozon
http://www.wikidata.org/entity/Q12927	Marine Le Pen
http://www.wikidata.org/entity/Q12928	Hélène Geoffroy
http://www.wikidata.org/entity/Q12942	Arlette Laguiller
http://www.wikidata.org/entity/Q12945	Christiane Demontès
http://www.wikidata.org/entity/Q12947	Muguette Dini
http://www.wikidata.org/entity/Q12948	Élisabeth Lamure
http://www.wikidata.org/entity/Q12953	Henriette Walter
http://www.wikidata.org/entity/Q13007	Lidia Zamenhof
http://www.wikidata.org/entity/Q13133	Michelle Obama
http://www.wikidata.org/entity/Q13183	Paula Creamer
http://www.wikidata.org/entity/Q13530	Anne Aallonen
http://www.wikidata.org/entity/Q13531	Nanne Tenhovuori
http://www.wikidata.org/entity/Q13532	Merikukka Forsius
http://www.wikidata.org/entity/Q13535	Johanna Hyöty
http://www.wikidata.org/entity/Q13540	Emma Laine
http://www.wikidata.org/entity/Q13542	Essi Laine
http://www.wikidata.org/entity/Q13543	Ella Leivo
http://www.wikidata.org/entity/Q13553	Katriina Saarinen
http://www.wikidata.org/entity/Q13555	Piia Suomalainen
http://www.wikidata.org/entity/Q13556	Heini Salonen
http://www.wikidata.org/entity/Q13558	Saana Saarteinen
http://www.wikidata.org/entity/Q13560	Petra Thorén
http://www.wikidata.org/entity/Q13561	Katariina Tuohimaa
http://www.wikidata.org/entity/Q13651	Lyudmila Peterson
http://www.wikidata.org/entity/Q13909	Angelina Jolie
http://www.wikidata.org/entity/Q13938	Grey Griffin
http://www.wikidata.org/entity/Q14010	Ursula Martin
http://www.wikidata.org/entity/Q14051	Fee Plumley
http://www.wikidata.org/entity/Q14077	Juana Manuela Gorriti
http://www.wikidata.org/entity/Q14086	Marissa Mayer
http://www.wikidata.org/entity/Q14089	Lori McCreary
http://www.wikidata.org/entity/Q14095	Renée Miller
http://www.wikidata.org/entity/Q14096	Johanna Moore
http://www.wikidata.org/entity/Q14097	Enid Mumford
http://www.wikidata.org/entity/Q14098	Caryn Navy
