# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%20wd%3AQ11707%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22nl%22%20.%20%7D%0A%7D
type	typeLabel
http://www.wikidata.org/entity/Q1731835	The Crab Cooker
http://www.wikidata.org/entity/Q1783593	Simpson's-in-the-Strand
http://www.wikidata.org/entity/Q1784544	Q1784544
http://www.wikidata.org/entity/Q1788369	Kreuzklappe
http://www.wikidata.org/entity/Q1789864	Kronenhalle
http://www.wikidata.org/entity/Q1794498	Dragsholm Castle
http://www.wikidata.org/entity/Q1797037	Q1797037
http://www.wikidata.org/entity/Q1799730	Lachswehr Lübeck
http://www.wikidata.org/entity/Q1809964	Le Manoir aux Quat' Saisons
http://www.wikidata.org/entity/Q1810254	Le Train Bleu
http://www.wikidata.org/entity/Q1814421	Parkheuvel
http://www.wikidata.org/entity/Q1814591	Russian Tea Room
http://www.wikidata.org/entity/Q1814945	The Russell Hotel
http://www.wikidata.org/entity/Q1820248	Sea Grill
http://www.wikidata.org/entity/Q1823596	De Moerbei
http://www.wikidata.org/entity/Q1825680	Lincke’sches Bad
http://www.wikidata.org/entity/Q1828277	Brouwerij De Molen
http://www.wikidata.org/entity/Q1847311	Q1847311
http://www.wikidata.org/entity/Q1848338	Arbutus Lodge
http://www.wikidata.org/entity/Q1848783	O Mundo
http://www.wikidata.org/entity/Q1880610	L'Auberge du Pont de Collonges
http://www.wikidata.org/entity/Q1918775	De Kieviet
http://www.wikidata.org/entity/Q1919689	Kokuban
http://www.wikidata.org/entity/Q1922593	Da Vinci
http://www.wikidata.org/entity/Q1923735	Castle of Teuven
http://www.wikidata.org/entity/Q1928054	Michael Jordan's Restaurant
http://www.wikidata.org/entity/Q1949989	Beluga
http://www.wikidata.org/entity/Q1982371	Q1982371
http://www.wikidata.org/entity/Q2004803	Mijn Keuken
http://www.wikidata.org/entity/Q2005773	Pure C
http://www.wikidata.org/entity/Q2009752	Oberhafenkantine
http://www.wikidata.org/entity/Q2026348	De Echoput
http://www.wikidata.org/entity/Q2033104	Chez Hans
http://www.wikidata.org/entity/Q2034445	Slot Ostende
http://www.wikidata.org/entity/Q2040970	't Brouwerskolkje
http://www.wikidata.org/entity/Q2045853	Ron Blaauw
http://www.wikidata.org/entity/Q2049697	Valuas
http://www.wikidata.org/entity/Q2052036	Royal
http://www.wikidata.org/entity/Q2062117	Tante Koosje
http://www.wikidata.org/entity/Q2065032	Queens Garden
http://www.wikidata.org/entity/Q2065088	Okura Hotel
http://www.wikidata.org/entity/Q2073624	Esma Sultan Mansion
http://www.wikidata.org/entity/Q2084828	De Prins
http://www.wikidata.org/entity/Q2105870	Monte Carlo
http://www.wikidata.org/entity/Q2106143	De Brug
http://www.wikidata.org/entity/Q2122113	Restaurant Karel 5
http://www.wikidata.org/entity/Q2127681	Raimartihof
http://www.wikidata.org/entity/Q2128567	Bellevue
http://www.wikidata.org/entity/Q2129707	Chapter One
http://www.wikidata.org/entity/Q2130128	Roscoff Restaurant
http://www.wikidata.org/entity/Q2130840	Randy's Donuts
http://www.wikidata.org/entity/Q2132645	Rathaus zum Äusseren Stand
http://www.wikidata.org/entity/Q2132881	Ratskeller Vetschau
http://www.wikidata.org/entity/Q2145949	Restaurant Wullenwever
http://www.wikidata.org/entity/Q2145966	Restauration zum Baeckehiesel, Straßburg
http://www.wikidata.org/entity/Q2159331	Lundy's Restaurant
http://www.wikidata.org/entity/Q2163983	De Witte
http://www.wikidata.org/entity/Q2172640	De Hoefslag
http://www.wikidata.org/entity/Q2173549	De Librije
http://www.wikidata.org/entity/Q2176399	De Karmeliet
http://www.wikidata.org/entity/Q2179825	Bij Lam en Yin
http://www.wikidata.org/entity/Q2184578	Mátyás Pince
http://www.wikidata.org/entity/Q2185528	Bon Appétit
http://www.wikidata.org/entity/Q2188949	Shanks Restaurant
http://www.wikidata.org/entity/Q2192183	't Zilte
http://www.wikidata.org/entity/Q2195747	Old Dutch
http://www.wikidata.org/entity/Q2199089	De Lindenhof
http://www.wikidata.org/entity/Q2201717	The Oriel
http://www.wikidata.org/entity/Q2215995	Au Coin des Bons Enfants
http://www.wikidata.org/entity/Q2222604	Sansibar
http://www.wikidata.org/entity/Q2229169	Merlet
http://www.wikidata.org/entity/Q2240723	Schloss Eberstein
http://www.wikidata.org/entity/Q2242447	Mittersill castle
http://www.wikidata.org/entity/Q2245256	Wörth Castle
http://www.wikidata.org/entity/Q2249580	NS Stations
http://www.wikidata.org/entity/Q2255788	Boreas
http://www.wikidata.org/entity/Q2263744	Sobrino de Botín
http://www.wikidata.org/entity/Q2272894	La Durée
http://www.wikidata.org/entity/Q2273110	Iggy's
http://www.wikidata.org/entity/Q2273755	Locks Brasserie
http://www.wikidata.org/entity/Q2275399	Vestekerk
http://www.wikidata.org/entity/Q2276121	Q2276121
http://www.wikidata.org/entity/Q2283768	De Put
http://www.wikidata.org/entity/Q2285790	De Nederlanden
http://www.wikidata.org/entity/Q2286515	Culinaire Verwennerij Bij Jef
http://www.wikidata.org/entity/Q2291236	Q2291236
http://www.wikidata.org/entity/Q2291873	Q2291873
http://www.wikidata.org/entity/Q2292274	Park
http://www.wikidata.org/entity/Q2292338	Nam Kee
http://www.wikidata.org/entity/Q2300919	The Fat Duck
http://www.wikidata.org/entity/Q2304666	De Kromme Watergang
http://www.wikidata.org/entity/Q2304998	The House
http://www.wikidata.org/entity/Q2308709	Plein 20, The Hague
http://www.wikidata.org/entity/Q2316670	The Blue Lagoon
http://www.wikidata.org/entity/Q2329566	Carelshaven
http://www.wikidata.org/entity/Q2337930	Dôme
http://www.wikidata.org/entity/Q2345731	Sternbräu (Salzburg)
http://www.wikidata.org/entity/Q2348995	De Vlindertuin
http://www.wikidata.org/entity/Q2350223	Hertog Jan
http://www.wikidata.org/entity/Q2351267	Inter Scaldes
http://www.wikidata.org/entity/Q2355180	Nuance
http://www.wikidata.org/entity/Q2360937	Nolet Het Reymerswale
http://www.wikidata.org/entity/Q2363305	Beudaert
http://www.wikidata.org/entity/Q2364717	The French Laundry
http://www.wikidata.org/entity/Q2385590	't Ganzenest
http://www.wikidata.org/entity/Q2385913	De Swaen
http://www.wikidata.org/entity/Q2386188	Shiro
http://www.wikidata.org/entity/Q2388809	Saur
http://www.wikidata.org/entity/Q2390769	Q2390769
http://www.wikidata.org/entity/Q2396884	Domaine de Rochevilaine
http://www.wikidata.org/entity/Q2399858	Salon Indien du Grand Café
http://www.wikidata.org/entity/Q2400135	Teepott Warnemünde
http://www.wikidata.org/entity/Q2409799	MaDonal
http://www.wikidata.org/entity/Q2411767	Grecian Coffee House
http://www.wikidata.org/entity/Q2419971	Osteria Francescana
http://www.wikidata.org/entity/Q2425162	Bodeguita del medio
http://www.wikidata.org/entity/Q2445128	De Leuf
http://www.wikidata.org/entity/Q2445502	Q2445502
http://www.wikidata.org/entity/Q2448524	't Overhamme
http://www.wikidata.org/entity/Q2450544	La Trinité
http://www.wikidata.org/entity/Q2460503	Aan de Poel
http://www.wikidata.org/entity/Q2469108	Aubergine
http://www.wikidata.org/entity/Q2481428	De Leest
http://www.wikidata.org/entity/Q2493138	Le Chevalier
http://www.wikidata.org/entity/Q2508021	Q2508021
http://www.wikidata.org/entity/Q2521084	Kasteel Wittem
http://www.wikidata.org/entity/Q2521848	Le Restaurant
http://www.wikidata.org/entity/Q2528745	Q2528745
http://www.wikidata.org/entity/Q2536736	Restaurant Patrick Guilbaud
http://www.wikidata.org/entity/Q2541626	Waldhotel Rheinbach
http://www.wikidata.org/entity/Q2547857	Dromoland Castle
