# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%20%23%3Fsubtype%20%3FsubtypeLabel%20%23%28COUNT%28%3Fx%29%20AS%20%3Fcnt%29%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%2Fwdt%3AP279%2a%20wd%3AQ8065%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20.%20%7D%0A%20%20%20%20%3Fsitelink%20schema%3Aabout%20%3Ftype%20.%0A%09%3Fsitelink%20schema%3AinLanguage%20%22en%22%20.%0A%20%20%20%20%3Fsitelink%20schema%3AisPartOf%20%5B%20wikibase%3AwikiGroup%20%22wikipedia%22%20%5D%20.%0A%7D
type	typeLabel
http://www.wikidata.org/entity/Q3504562	1982 North Yemen earthquake
http://www.wikidata.org/entity/Q3510580	2010 Central Canada earthquake
http://www.wikidata.org/entity/Q3497601	2003 Colima earthquake
http://www.wikidata.org/entity/Q3510577	2001 Nisqually earthquake
http://www.wikidata.org/entity/Q189079	2011 Van earthquake
http://www.wikidata.org/entity/Q191055	1755 Lisbon earthquake
http://www.wikidata.org/entity/Q2379532	1927 Crimean earthquakes
http://www.wikidata.org/entity/Q2391429	1948 Ashgabat earthquake
http://www.wikidata.org/entity/Q2329463	April 2010 Sumatra earthquake
http://www.wikidata.org/entity/Q2113582	1858 Hietsu earthquake
http://www.wikidata.org/entity/Q2330932	1921 Massawa earthquake
http://www.wikidata.org/entity/Q2106353	1931 Dogger Bank earthquake
http://www.wikidata.org/entity/Q2124824	2010 Papua earthquake
http://www.wikidata.org/entity/Q2257461	1915 Avezzano earthquake
http://www.wikidata.org/entity/Q2351002	1891 Mino-Owari earthquake
http://www.wikidata.org/entity/Q2335101	1935 Balochistan earthquake
http://www.wikidata.org/entity/Q2274259	2002 Molise earthquake
http://www.wikidata.org/entity/Q4204647	1833 Sumatra earthquake
http://www.wikidata.org/entity/Q4347173	1922 Vallenar earthquake
http://www.wikidata.org/entity/Q4216844	2010 Kalgoorlie-Boulder earthquake
http://www.wikidata.org/entity/Q4191085	2012 Samar earthquake
http://www.wikidata.org/entity/Q4191082	1692 Jamaica earthquake
http://www.wikidata.org/entity/Q4201978	2013 Solomon Islands earthquake
http://www.wikidata.org/entity/Q4219257	1911 Kebin earthquake
http://www.wikidata.org/entity/Q4251541	2009 Talaud Islands earthquake
http://www.wikidata.org/entity/Q4353439	1968 Dasht-e Bayaz and Ferdows earthquake
http://www.wikidata.org/entity/Q4353435	1997 Jabalpur earthquake
http://www.wikidata.org/entity/Q4216855	2008 Sulawesi earthquake
http://www.wikidata.org/entity/Q4207713	1965 Ceram Sea earthquake
http://www.wikidata.org/entity/Q4207697	2009 Xinjiang earthquake
http://www.wikidata.org/entity/Q4191063	2011 Aceh Singkil Regency earthquakes
http://www.wikidata.org/entity/Q4346113	1903 Malazgirt earthquake
http://www.wikidata.org/entity/Q4349327	1993 Latur earthquake
http://www.wikidata.org/entity/Q929108	1848 Marlborough earthquake
http://www.wikidata.org/entity/Q907519	1929 Grand Banks earthquake
http://www.wikidata.org/entity/Q939106	2005 Sumatra earthquake
http://www.wikidata.org/entity/Q921497	2009 Samoa earthquake
http://www.wikidata.org/entity/Q924948	2010 Elâzığ earthquake
http://www.wikidata.org/entity/Q955749	1985 Mendoza earthquake
http://www.wikidata.org/entity/Q912835	1971 San Fernando earthquake
http://www.wikidata.org/entity/Q924446	1972 Nicaragua earthquake
http://www.wikidata.org/entity/Q924005	2007 Solomon Islands earthquake
http://www.wikidata.org/entity/Q2441400	2001 Gujarat earthquake
http://www.wikidata.org/entity/Q2436689	2005 Miyagi earthquake
http://www.wikidata.org/entity/Q2448998	2010 Hosseinabad earthquake
http://www.wikidata.org/entity/Q2540715	1942 Wairarapa earthquakes
http://www.wikidata.org/entity/Q2419218	2012 Yunnan earthquakes
http://www.wikidata.org/entity/Q2506366	Vargas tragedy
http://www.wikidata.org/entity/Q2423117	1911 Sarez earthquake
http://www.wikidata.org/entity/Q2399134	2009 Andaman Islands earthquake
http://www.wikidata.org/entity/Q2470182	2008 Kyrgyzstan earthquake
http://www.wikidata.org/entity/Q201542	1929 Arthur's Pass earthquake
http://www.wikidata.org/entity/Q191293	1556 Shaanxi earthquake
http://www.wikidata.org/entity/Q207918	2009 L'Aquila earthquake
http://www.wikidata.org/entity/Q3646645	1812 Caracas earthquake
http://www.wikidata.org/entity/Q3666607	1992 Erzincan earthquake
http://www.wikidata.org/entity/Q3630459	2012 Haida Gwaii earthquake
http://www.wikidata.org/entity/Q3658524	2006 Yanjin earthquake
http://www.wikidata.org/entity/Q3545134	1959 Hebgen Lake earthquake
http://www.wikidata.org/entity/Q3661284	1952 Severo-Kurilsk tsunami
http://www.wikidata.org/entity/Q3666305	1966 Varto earthquake
http://www.wikidata.org/entity/Q3510586	1994 Paez river earthquake
http://www.wikidata.org/entity/Q3629959	1991 Uttarkashi earthquake
http://www.wikidata.org/entity/Q3621706	2010 Salta earthquake
http://www.wikidata.org/entity/Q3646805	1920 Gori earthquake
http://www.wikidata.org/entity/Q3667156	1975 Lice earthquake
http://www.wikidata.org/entity/Q3555032	464 BC Sparta earthquake
http://www.wikidata.org/entity/Q3544130	856 Damghan earthquake
http://www.wikidata.org/entity/Q3648080	1994 Bolivia earthquake
http://www.wikidata.org/entity/Q3623244	2006 Kamchatka earthquakes
http://www.wikidata.org/entity/Q2607760	2008 Iceland earthquake
http://www.wikidata.org/entity/Q2557070	1975 Haicheng earthquake
http://www.wikidata.org/entity/Q2658524	1940 Vrancea earthquake
http://www.wikidata.org/entity/Q2625364	2001 southern Peru earthquake
http://www.wikidata.org/entity/Q2666377	January 2010 Solomon Islands earthquake
http://www.wikidata.org/entity/Q2618441	1880 Zagreb earthquake
http://www.wikidata.org/entity/Q2609430	1997 Umbria and Marche earthquake
http://www.wikidata.org/entity/Q2663230	2009 Bhutan earthquake
http://www.wikidata.org/entity/Q2576277	1667 Dubrovnik earthquake
http://www.wikidata.org/entity/Q2614092	1945 Balochistan earthquake
http://www.wikidata.org/entity/Q2666975	1995 Neftegorsk earthquake
http://www.wikidata.org/entity/Q2548294	1843 Wanganui earthquake
http://www.wikidata.org/entity/Q976493	1844 Salta earthquake
http://www.wikidata.org/entity/Q986103	2007 Noto earthquake
http://www.wikidata.org/entity/Q973979	1997 Qayen earthquake
http://www.wikidata.org/entity/Q961334	1999 Oaxaca earthquake
http://www.wikidata.org/entity/Q1015402	2008 Damxung earthquake
http://www.wikidata.org/entity/Q1053476	1989 Loma Prieta earthquake
http://www.wikidata.org/entity/Q1014283	1994 offshore Sanriku earthquake
http://www.wikidata.org/entity/Q1049092	October 2010 Sumatra earthquake and tsunami
http://www.wikidata.org/entity/Q1062315	1968 Belice earthquake
http://www.wikidata.org/entity/Q4355551	1997 Ardabil earthquake
http://www.wikidata.org/entity/Q4382257	2000 Sumatra earthquake
http://www.wikidata.org/entity/Q4548624	1293 Kamakura earthquake
http://www.wikidata.org/entity/Q4551867	1687 Peru earthquake
http://www.wikidata.org/entity/Q4551438	1641 Caracas earthquake
http://www.wikidata.org/entity/Q4551791	1679 Armenia earthquake
http://www.wikidata.org/entity/Q4550734	1582 Ancuancu earthquake
http://www.wikidata.org/entity/Q4551488	1647 Santiago earthquake
http://www.wikidata.org/entity/Q4551686	1667 Shamakhi earthquake
http://www.wikidata.org/entity/Q4522773	1859 Shamakhi earthquake
http://www.wikidata.org/entity/Q4517810	2003 Altai earthquake
http://www.wikidata.org/entity/Q4389204	1855 Ansei Edo earthquake
http://www.wikidata.org/entity/Q4389555	1948 Fukui earthquake
http://www.wikidata.org/entity/Q4547511	115 Antioch earthquake
http://www.wikidata.org/entity/Q4551469	1645 Luzon earthquake
http://www.wikidata.org/entity/Q4551553	1653 East Symirna earthquake
http://www.wikidata.org/entity/Q4547554	1169 Sicily earthquake
http://www.wikidata.org/entity/Q4551650	1663 Charlevoix earthquake
http://www.wikidata.org/entity/Q210137	2005 Kashmir earthquake
http://www.wikidata.org/entity/Q210981	2007 Peru earthquake
http://www.wikidata.org/entity/Q211386	1908 San Francisco earthquake
http://www.wikidata.org/entity/Q214866	Great Hanshin earthquake
http://www.wikidata.org/entity/Q212618	1960 Valdivia earthquake
http://www.wikidata.org/entity/Q1139638	1953 Ionian Earthquake
