# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%20%23%3Fsubtype%20%3FsubtypeLabel%20%23%28COUNT%28%3Fx%29%20AS%20%3Fcnt%29%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%2Fwdt%3AP279%2a%20wd%3AQ744913%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20.%20%7D%0A%20%20%20%20%3Fsitelink%20schema%3Aabout%20%3Ftype%20.%0A%09%3Fsitelink%20schema%3AinLanguage%20%22en%22%20.%0A%20%20%20%20%3Fsitelink%20schema%3AisPartOf%20%5B%20wikibase%3AwikiGroup%20%22wikipedia%22%20%5D%20.%0A%7D
type	typeLabel
http://www.wikidata.org/entity/Q172129	2001 Japan Airlines mid-air incident
http://www.wikidata.org/entity/Q173973	Swissair Flight 306
http://www.wikidata.org/entity/Q153570	2011 Reno Air Races crash
http://www.wikidata.org/entity/Q768914	1976 Zagreb mid-air collision
http://www.wikidata.org/entity/Q770935	Alaska Airlines Flight 261
http://www.wikidata.org/entity/Q769736	British Airways Flight 38
http://www.wikidata.org/entity/Q770821	Hewa Bora Airways Flight 122
http://www.wikidata.org/entity/Q779099	2009 Indonesian Air Force Fokker F27-400M crash
http://www.wikidata.org/entity/Q777089	Aurora
http://www.wikidata.org/entity/Q2372837	Air Florida Flight 90
http://www.wikidata.org/entity/Q2343232	BOAC Flight 777
http://www.wikidata.org/entity/Q2344220	2012 Indonesian Air Force Fokker F27 crash
http://www.wikidata.org/entity/Q2375420	Aeroflot Flight 3352
http://www.wikidata.org/entity/Q2375128	1979 Dniprodzerzhynsk mid-air collision
http://www.wikidata.org/entity/Q2375246	2004 Russian aircraft bombings
http://www.wikidata.org/entity/Q2372347	Vladivostok Air Flight 352
http://www.wikidata.org/entity/Q2344809	KLM Flight 844
http://www.wikidata.org/entity/Q2334343	1948 KLM Constellation air disaster
http://www.wikidata.org/entity/Q2360975	2009 Indonesian Air Force C-130H Hercules crash
http://www.wikidata.org/entity/Q3525589	2005 Royal Air Force Hercules shootdown
http://www.wikidata.org/entity/Q3562567	Avioimpex Flight 110
http://www.wikidata.org/entity/Q3562643	Eastern Air Lines Flight 980
http://www.wikidata.org/entity/Q3562572	Inex-Adria Aviopromet Flight 1308
http://www.wikidata.org/entity/Q3562603	Olympic Aviation Flight 545
http://www.wikidata.org/entity/Q3562629	XL Airways Germany Flight 888T
http://www.wikidata.org/entity/Q3562568	Air France Flight 117
http://www.wikidata.org/entity/Q3562565	Air Moorea Flight 1121
http://www.wikidata.org/entity/Q3562612	Qantas Flight 72
http://www.wikidata.org/entity/Q3562641	Iran Air Tours Flight 945
http://www.wikidata.org/entity/Q3558304	Olympic Airways Flight 417
http://www.wikidata.org/entity/Q3562580	Flight 2605 by Western Airlines
http://www.wikidata.org/entity/Q185380	Air France Flight 447
http://www.wikidata.org/entity/Q211087	Pan Am Flight 103
http://www.wikidata.org/entity/Q783597	American Airlines Flight 1420
http://www.wikidata.org/entity/Q784141	Eastern Air Lines Flight 401
http://www.wikidata.org/entity/Q783193	Avianca Flight 52
http://www.wikidata.org/entity/Q783579	American Airlines Flight 96
http://www.wikidata.org/entity/Q794998	1994 Fairchild Air Force Base B-52 crash
http://www.wikidata.org/entity/Q786906	1949 Air France Lockheed Constellation crash
http://www.wikidata.org/entity/Q784466	Itavia Flight 870
http://www.wikidata.org/entity/Q2422134	2010 Austin suicide attack
http://www.wikidata.org/entity/Q2405347	Kolavia Flight 348
http://www.wikidata.org/entity/Q2422973	Armavia Flight 967
http://www.wikidata.org/entity/Q2440618	Saudia Flight 163
http://www.wikidata.org/entity/Q2381192	Mexicana Flight 940
http://www.wikidata.org/entity/Q2424011	Merpati Nusantara Airlines Flight 836
http://www.wikidata.org/entity/Q2423283	Mantell UFO incident
http://www.wikidata.org/entity/Q1600902	Iberia Airlines Flight 602
http://www.wikidata.org/entity/Q1583411	Pacific Southwest Airlines Flight 1771
http://www.wikidata.org/entity/Q1575474	Sabena Flight 548
http://www.wikidata.org/entity/Q1574101	Southwest Airlines Flight 1248
http://www.wikidata.org/entity/Q1576861	Libyan Arab Airlines Flight 114
http://www.wikidata.org/entity/Q1573486	LOT Polish Airlines Flight 7
http://www.wikidata.org/entity/Q1615396	UPS Airlines Flight 6
http://www.wikidata.org/entity/Q223288	Tenerife airport disaster
http://www.wikidata.org/entity/Q250439	Adam Air Flight 574
http://www.wikidata.org/entity/Q2453061	Death and state funeral of Lech Kaczyński and Maria Kaczyńska
http://www.wikidata.org/entity/Q2475745	Siberia Airlines Flight 1812
http://www.wikidata.org/entity/Q2485673	CanJet Flight 918
http://www.wikidata.org/entity/Q2579458	KLM Cityhopper Flight 433
http://www.wikidata.org/entity/Q2550247	El Al Flight 402
http://www.wikidata.org/entity/Q2523832	Merpati Nusantara Airlines Flight 8968
http://www.wikidata.org/entity/Q2497839	Bellview Airlines Flight 210
http://www.wikidata.org/entity/Q2597490	Noar Linhas Aéreas Flight 4896
http://www.wikidata.org/entity/Q2452289	KLM Flight 633
http://www.wikidata.org/entity/Q2502052	UM Airlines Flight 4230
http://www.wikidata.org/entity/Q2495117	United Airlines Flight 736
http://www.wikidata.org/entity/Q251039	US Airways Flight 1549
http://www.wikidata.org/entity/Q282999	Aero Caribbean Flight 883
http://www.wikidata.org/entity/Q275701	2012 Aéro-Service Ilyushin Il-76 crash
http://www.wikidata.org/entity/Q265922	KLM Flight 867
http://www.wikidata.org/entity/Q261538	S. A. Andrée's Arctic Balloon Expedition of 1897
http://www.wikidata.org/entity/Q1671791	Invicta International Airlines Flight 435
http://www.wikidata.org/entity/Q1705140	1987 Alianza Lima air disaster
http://www.wikidata.org/entity/Q1681634	Pamir Airways Flight 112
http://www.wikidata.org/entity/Q1667658	TWA Flight 3
http://www.wikidata.org/entity/Q1739099	Kenya Airways Flight 507
http://www.wikidata.org/entity/Q1616631	Hewa Bora Airways Flight 952
http://www.wikidata.org/entity/Q1707895	JetBlue Airways Flight 292
http://www.wikidata.org/entity/Q1704625	2012 Kazakhstan Antonov An-72 crash
http://www.wikidata.org/entity/Q1628058	Northwest Orient Airlines Flight 2501
http://www.wikidata.org/entity/Q1624024	R38 class
http://www.wikidata.org/entity/Q3610236	1982 British Army Gazelle friendly fire incident
http://www.wikidata.org/entity/Q3662192	Continental Express Flight 2574
http://www.wikidata.org/entity/Q3866667	SCAT Airlines Flight 760
http://www.wikidata.org/entity/Q3709238	TWA Flight 891
http://www.wikidata.org/entity/Q3797640	2002 Pirelli Tower plane crash
http://www.wikidata.org/entity/Q3809581	Aer Lingus Flight 164
http://www.wikidata.org/entity/Q3797657	Airbus Industrie Flight 129
